Tanggal,Harga_Tutup,Volume
2023-08-28,1383.5754601046065,383759
2023-08-29,1228.7843970366089,417459
2023-08-30,1358.0709916990193,257144
2023-08-31,1260.3026382868516,286945
2023-09-01,1253.348690649303,160820
2023-09-02,1284.8364070750347,313260
2023-09-03,1323.661780298388,399807
2023-09-04,1374.4374602690643,81187
2023-09-05,1254.3656397276186,39954
2023-09-06,1424.3631179389013,496003
2023-09-07,1400.2191520413855,418000
2023-09-08,1336.777913774018,104175
2023-09-09,1330.2679293495967,419027
2023-09-10,1298.4772252730224,390618
2023-09-11,1376.9295022179156,309765
2023-09-12,1352.3411724382106,91059
2023-09-13,1420.8779404959075,120901
2023-09-14,1317.337570904396,141207
2023-09-15,1380.4191743640115,461272
2023-09-16,1352.5764775054936,430665
2023-09-17,1313.418418116988,77676
2023-09-18,1452.2580592244574,488782
2023-09-19,1372.496753125484,232117
2023-09-20,1390.9028349657833,291787
2023-09-21,1307.8353508403422,259849
2023-09-22,1326.5063259620567,78396
2023-09-23,1368.2179667805767,415046
2023-09-24,1336.1618575533469,242471
2023-09-25,1396.8593552959273,151958
2023-09-26,1390.0501300903527,472986
2023-09-27,1330.3883347899275,86789
2023-09-28,1380.525920087577,92804
2023-09-29,1372.4539928521442,89045
2023-09-30,1365.4226090925035,170149
2023-10-01,1317.559386779607,278573
2023-10-02,1334.598201175114,171849
2023-10-03,1388.2697891662222,78492
2023-10-04,1429.8201106583635,486634
2023-10-05,1331.9846143456934,183294
2023-10-06,1442.7272098253263,398243
2023-10-07,1392.3741271702108,45446
2023-10-08,1321.1244050252405,189431
2023-10-09,1402.1585074750942,374336
2023-10-10,1431.6513802428822,66339
2023-10-11,1401.9559983177994,21844
2023-10-12,1506.0662559912641,51975
2023-10-13,1406.9169001429061,124532
2023-10-14,1437.4853444329176,479897
2023-10-15,1394.7819040695592,80140
2023-10-16,1444.6081020044949,169663
2023-10-17,1277.199421308432,423837
2023-10-18,1355.475522599664,241573
2023-10-19,1381.5113704127907,348603
2023-10-20,1426.2952461594186,144128
2023-10-21,1411.8890882016108,492927
2023-10-22,1458.1075075289586,223841
2023-10-23,1423.0667335700623,13550
2023-10-24,1416.9598849629126,270969
2023-10-25,1400.713806100779,181203
2023-10-26,1417.535871974581,259803
2023-10-27,1452.1899099341479,75322
2023-10-28,1449.852909985521,412740
2023-10-29,1457.4358229894217,312296
2023-10-30,1402.8373498937196,436666
2023-10-31,1381.4559589384244,245332
2023-11-01,1394.0124134342332,127093
2023-11-02,1436.4298643894122,132233
2023-11-03,1500.9025350293377,130964
2023-11-04,1433.6702600248586,13414
2023-11-05,1447.3270544842871,480579
2023-11-06,1341.5203141218847,46766
2023-11-07,1559.8196912231417,317253
2023-11-08,1372.021695634741,330927
2023-11-09,1519.4605590071453,493534
2023-11-10,1402.1426878629898,476247
2023-11-11,1479.2042433030656,238737
2023-11-12,1473.4533417637285,104734
2023-11-13,1437.2819040536347,492025
2023-11-14,1427.1192918638735,403155
2023-11-15,1389.777698063545,376279
2023-11-16,1435.5070881006584,437053
2023-11-17,1494.6172497176558,354507
2023-11-18,1459.5401932043449,328846
2023-11-19,1398.1346429530051,260290
2023-11-20,1501.583897266197,135044
2023-11-21,1384.8722704752324,428422
2023-11-22,1456.9205285221587,192582
2023-11-23,1403.2428516957636,252168
2023-11-24,1410.0414368262575,280629
2023-11-25,1504.5359844392358,368915
2023-11-26,1428.7810326432634,237521
2023-11-27,1377.5429193292018,488484
2023-11-28,1427.7344030814634,490266
2023-11-29,1493.875048930365,76622
2023-11-30,1420.9476212940199,329075
2023-12-01,1519.5303412952176,346950
2023-12-02,1510.5789835000962,245283
2023-12-03,1465.2026119847978,126098
2023-12-04,1521.598708583228,129443
2023-12-05,1557.433297651762,495087
2023-12-06,1366.4775157768922,253141
2023-12-07,1524.86741353838,174328
2023-12-08,1498.8707067207115,121859
2023-12-09,1453.6201581565695,256345
2023-12-10,1504.3611265002626,89971
2023-12-11,1492.3637721820542,194570
2023-12-12,1445.0952558573717,56196
2023-12-13,1549.6856448786261,405231
2023-12-14,1483.6606949886054,404753
2023-12-15,1537.4378157212104,187501
2023-12-16,1467.1083350181852,416286
2023-12-17,1398.9898998687727,316141
2023-12-18,1494.3827615701564,309918
2023-12-19,1471.7623720260328,16880
2023-12-20,1421.848719607403,377624
2023-12-21,1401.665339824896,345090
2023-12-22,1518.4599087576064,407400
2023-12-23,1552.4955530946538,299726
2023-12-24,1560.251514215482,453012
2023-12-25,1518.4694898715977,398564
2023-12-26,1493.336970059805,163993
2023-12-27,1503.9764866199641,100699
2023-12-28,1498.1178551499684,274186
2023-12-29,1536.987010969586,379869
2023-12-30,1473.9693365543264,184329
2023-12-31,1436.9205130500134,147469
