toko_id,kota,penjualan,keuntungan,latitude,longitude
T082,Medan,217191566,483797301,3.6030410772183123,98.66517759934582
T083,Jakarta,644176336,222500748,-6.291366012880496,106.90992232832626
T084,Makassar,783683481,62611628,-5.06080906445196,119.40049202508023
T085,Medan,630099697,380687764,3.5686451088918245,98.71346903649044
T086,Jakarta,948397294,376755115,-6.153715744219979,106.88404383113627
T087,Surabaya,656442785,163031442,-7.25225839704005,112.72413822154338
T088,Surabaya,922613973,331602232,-7.338483639371008,112.84998282681065
T089,Medan,787078355,57760533,3.518211843604112,98.69617384809553
T090,Surabaya,509504320,353474610,-7.327155009861782,112.75219705411878
T091,Medan,465500877,254454009,3.529240001843369,98.71398150350126
T092,Makassar,822736954,272305686,-5.2364488413751,119.41676598677331
T093,Makassar,808230410,82260114,-5.237597366993421,119.47446534456873
T094,Jakarta,808536318,57965637,-6.110314340788256,106.77096047666693
T095,Makassar,708138676,157925351,-5.228741642002078,119.51744166286915
T096,Medan,348401402,273219959,3.598670335177678,98.67939256758676
T097,Bandung,935607067,460689541,-6.9932740359252845,107.56732989871745
T098,Surabaya,313520540,215037701,-7.314042429758257,112.73943933368629
T099,Makassar,501112072,58390470,-5.094385585443783,119.51101930812418
T100,Makassar,807452663,213278303,-5.05937303579433,119.49341106381442
