id_transaksi,tanggal,produk_id,nama_produk,kategori,harga,jumlah,kota,total_harga
95,2023-04-05,P029,Produk-10,Buku,1235111,14,Medan,17291554
96,2023-04-06,P015,Produk-18,Pakaian,817524,4,Medan,3270096
97,2023-04-07,P045,Produk-8,Pakaian,1693312,10,Medan,16933120
98,2023-04-08,P001,Produk-8,Elektronik,1627512,15,Jakarta,24412680
99,2023-04-09,P025,Produk-7,Olahraga,1491296,18,Jakarta,26843328
100,2023-04-10,P007,Produk-8,Buku,345767,13,Bandung,4494971
101,2023-04-11,P009,Produk-14,Pakaian,1550948,8,Surabaya,12407584
102,2023-04-12,P024,Produk-19,Elektronik,85634,9,Bandung,770706
103,2023-04-13,P001,Produk-6,Makanan,426742,16,Makassar,6827872
104,2023-04-14,P044,Produk-1,Buku,361478,19,Jakarta,6868082
105,2023-04-15,P008,Produk-15,Pakaian,905080,16,Medan,14481280
106,2023-04-16,P024,Produk-1,Olahraga,1644918,7,Jakarta,11514426
107,2023-04-17,P011,Produk-17,Elektronik,1692892,14,Medan,23700488
108,2023-04-18,P017,Produk-1,Pakaian,596495,14,Makassar,8350930
109,2023-04-19,P008,Produk-15,Olahraga,523866,4,Makassar,2095464
110,2023-04-20,P035,Produk-2,Pakaian,1853757,15,Jakarta,27806355
111,2023-04-21,P035,Produk-14,Buku,655842,3,Medan,1967526
112,2023-04-22,P033,Produk-8,Buku,1775322,5,Makassar,8876610
113,2023-04-23,P005,Produk-8,Buku,657564,1,Bandung,657564
114,2023-04-24,P042,Produk-19,Elektronik,1027022,3,Bandung,3081066
115,2023-04-25,P039,Produk-7,Buku,1413501,15,Medan,21202515
116,2023-04-26,P041,Produk-19,Olahraga,758140,8,Jakarta,6065120
117,2023-04-27,P028,Produk-6,Pakaian,242512,4,Makassar,970048
118,2023-04-28,P007,Produk-6,Makanan,1011703,2,Jakarta,2023406
119,2023-04-29,P009,Produk-3,Olahraga,1946043,10,Bandung,19460430
120,2023-04-30,P008,Produk-7,Olahraga,1631074,4,Makassar,6524296
121,2023-05-01,P012,Produk-19,Buku,1667227,3,Jakarta,5001681
122,2023-05-02,P034,Produk-8,Elektronik,1865111,2,Surabaya,3730222
123,2023-05-03,P033,Produk-10,Pakaian,1701143,17,Medan,28919431
124,2023-05-04,P048,Produk-20,Elektronik,241420,13,Medan,3138460
125,2023-05-05,P023,Produk-15,Pakaian,760644,5,Surabaya,3803220
126,2023-05-06,P024,Produk-15,Pakaian,1599420,9,Bandung,14394780
127,2023-05-07,P037,Produk-1,Elektronik,1301772,6,Makassar,7810632
128,2023-05-08,P035,Produk-20,Olahraga,1298495,5,Medan,6492475
129,2023-05-09,P044,Produk-7,Pakaian,1514224,10,Surabaya,15142240
130,2023-05-10,P040,Produk-4,Elektronik,307324,8,Surabaya,2458592
131,2023-05-11,P022,Produk-6,Pakaian,769449,7,Bandung,5386143
132,2023-05-12,P027,Produk-1,Makanan,1853227,7,Bandung,12972589
133,2023-05-13,P035,Produk-5,Olahraga,1757257,6,Jakarta,10543542
134,2023-05-14,P001,Produk-1,Buku,917780,3,Medan,2753340
135,2023-05-15,P035,Produk-4,Pakaian,480599,19,Jakarta,9131381
136,2023-05-16,P037,Produk-2,Makanan,425960,15,Surabaya,6389400
137,2023-05-17,P047,Produk-10,Buku,784042,4,Makassar,3136168
138,2023-05-18,P014,Produk-5,Buku,697341,12,Makassar,8368092
139,2023-05-19,P003,Produk-10,Pakaian,1570982,6,Bandung,9425892
140,2023-05-20,P001,Produk-1,Elektronik,1282541,19,Makassar,24368279
141,2023-05-21,P005,Produk-6,Pakaian,1265468,4,Makassar,5061872
142,2023-05-22,P026,Produk-13,Makanan,1951270,15,Makassar,29269050
143,2023-05-23,P014,Produk-15,Buku,184832,9,Surabaya,1663488
144,2023-05-24,P039,Produk-4,Pakaian,1251838,5,Makassar,6259190
145,2023-05-25,P027,Produk-13,Elektronik,117411,13,Makassar,1526343
146,2023-05-26,P009,Produk-20,Pakaian,335521,18,Makassar,6039378
147,2023-05-27,P015,Produk-15,Olahraga,1538529,5,Jakarta,7692645
148,2023-05-28,P015,Produk-8,Elektronik,1037073,16,Surabaya,16593168
149,2023-05-29,P026,Produk-5,Makanan,1136787,19,Bandung,21598953
150,2023-05-30,P042,Produk-15,Buku,263981,14,Jakarta,3695734
151,2023-05-31,P013,Produk-4,Pakaian,315888,16,Medan,5054208
152,2023-06-01,P032,Produk-12,Elektronik,830926,15,Surabaya,12463890
153,2023-06-02,P039,Produk-13,Olahraga,337139,4,Surabaya,1348556
154,2023-06-03,P049,Produk-2,Elektronik,1770913,7,Medan,12396391
155,2023-06-04,P032,Produk-19,Olahraga,1851874,16,Medan,29629984
156,2023-06-05,P004,Produk-19,Makanan,608830,8,Medan,4870640
157,2023-06-06,P030,Produk-4,Buku,60651,17,Bandung,1031067
158,2023-06-07,P037,Produk-4,Makanan,1197815,16,Makassar,19165040
159,2023-06-08,P023,Produk-11,Pakaian,915363,10,Surabaya,9153630
160,2023-06-09,P039,Produk-5,Elektronik,1849280,10,Makassar,18492800
161,2023-06-10,P045,Produk-20,Olahraga,938544,2,Makassar,1877088
162,2023-06-11,P015,Produk-11,Olahraga,1901723,9,Medan,17115507
163,2023-06-12,P043,Produk-10,Elektronik,487625,17,Bandung,8289625
164,2023-06-13,P029,Produk-8,Elektronik,1253954,11,Jakarta,13793494
165,2023-06-14,P036,Produk-6,Pakaian,1248734,10,Bandung,12487340
166,2023-06-15,P013,Produk-6,Makanan,1506168,17,Makassar,25604856
167,2023-06-16,P032,Produk-8,Olahraga,1422070,4,Bandung,5688280
168,2023-06-17,P007,Produk-15,Pakaian,383569,16,Medan,6137104
169,2023-06-18,P022,Produk-14,Makanan,546574,15,Jakarta,8198610
170,2023-06-19,P028,Produk-11,Pakaian,479852,5,Medan,2399260
171,2023-06-20,P002,Produk-12,Olahraga,1971128,6,Jakarta,11826768
172,2023-06-21,P042,Produk-13,Elektronik,1999897,17,Makassar,33998249
173,2023-06-22,P045,Produk-8,Elektronik,494865,1,Jakarta,494865
174,2023-06-23,P006,Produk-18,Makanan,1526402,19,Jakarta,29001638
175,2023-06-24,P028,Produk-1,Buku,1763994,4,Jakarta,7055976
176,2023-06-25,P028,Produk-15,Makanan,305948,17,Bandung,5201116
177,2023-06-26,P044,Produk-8,Buku,1620057,9,Bandung,14580513
178,2023-06-27,P044,Produk-11,Pakaian,911069,2,Makassar,1822138
179,2023-06-28,P020,Produk-12,Pakaian,1569825,8,Jakarta,12558600
180,2023-06-29,P030,Produk-12,Olahraga,906626,15,Surabaya,13599390
181,2023-06-30,P011,Produk-4,Buku,913349,7,Makassar,6393443
182,2023-07-01,P028,Produk-16,Olahraga,114200,6,Jakarta,685200
183,2023-07-02,P025,Produk-4,Elektronik,1204424,1,Jakarta,1204424
184,2023-07-03,P039,Produk-5,Buku,156022,15,Bandung,2340330
185,2023-07-04,P033,Produk-5,Makanan,751979,7,Makassar,5263853
186,2023-07-05,P001,Produk-8,Elektronik,1511331,17,Jakarta,25692627
187,2023-07-06,P027,Produk-10,Elektronik,830741,2,Jakarta,1661482
188,2023-07-07,P013,Produk-17,Makanan,1945066,9,Makassar,17505594
189,2023-07-08,P041,Produk-9,Elektronik,1160644,9,Surabaya,10445796
190,2023-07-09,P003,Produk-19,Buku,520529,13,Makassar,6766877
191,2023-07-10,P039,Produk-14,Olahraga,936364,6,Makassar,5618184
192,2023-07-11,P006,Produk-8,Elektronik,211445,6,Surabaya,1268670
193,2023-07-12,P008,Produk-9,Buku,1787090,3,Makassar,5361270
194,2023-07-13,P027,Produk-11,Pakaian,1235679,17,Jakarta,21006543
195,2023-07-14,P009,Produk-1,Buku,274605,17,Makassar,4668285
196,2023-07-15,P037,Produk-14,Olahraga,253047,12,Surabaya,3036564
197,2023-07-16,P033,Produk-5,Buku,859217,16,Medan,13747472
198,2023-07-17,P042,Produk-14,Makanan,299768,15,Makassar,4496520
199,2023-07-18,P044,Produk-4,Olahraga,734029,13,Bandung,9542377
200,2023-07-19,P024,Produk-1,Pakaian,1193051,1,Jakarta,1193051
201,2023-07-20,P015,Produk-19,Makanan,560370,17,Jakarta,9526290
202,2023-07-21,P032,Produk-8,Buku,576570,3,Bandung,1729710
203,2023-07-22,P032,Produk-15,Olahraga,739984,15,Bandung,11099760
204,2023-07-23,P024,Produk-15,Pakaian,1802374,4,Makassar,7209496
205,2023-07-24,P041,Produk-9,Makanan,270972,4,Bandung,1083888
206,2023-07-25,P049,Produk-9,Pakaian,1952542,18,Medan,35145756
207,2023-07-26,P049,Produk-10,Buku,1261353,17,Surabaya,21443001
208,2023-07-27,P012,Produk-20,Pakaian,1959972,19,Bandung,37239468
209,2023-07-28,P039,Produk-9,Elektronik,1791373,11,Bandung,19705103
210,2023-07-29,P002,Produk-3,Makanan,258944,3,Medan,776832
211,2023-07-30,P003,Produk-20,Pakaian,1042382,8,Jakarta,8339056
212,2023-07-31,P049,Produk-11,Buku,1741870,14,Jakarta,24386180
213,2023-08-01,P037,Produk-6,Buku,1335016,1,Makassar,1335016
214,2023-08-02,P049,Produk-2,Pakaian,778342,14,Medan,10896788
215,2023-08-03,P017,Produk-7,Buku,1411303,2,Surabaya,2822606
216,2023-08-04,P049,Produk-18,Olahraga,1923400,4,Surabaya,7693600
217,2023-08-05,P002,Produk-2,Olahraga,57461,19,Medan,1091759
218,2023-08-06,P002,Produk-17,Olahraga,1722987,6,Surabaya,10337922
219,2023-08-07,P028,Produk-11,Elektronik,846948,1,Jakarta,846948
220,2023-08-08,P023,Produk-12,Pakaian,522501,17,Surabaya,8882517
221,2023-08-09,P037,Produk-19,Elektronik,1247162,8,Surabaya,9977296
222,2023-08-10,P032,Produk-7,Buku,1096161,19,Medan,20827059
223,2023-08-11,P033,Produk-20,Elektronik,433395,1,Medan,433395
224,2023-08-12,P001,Produk-6,Buku,544178,5,Surabaya,2720890
225,2023-08-13,P019,Produk-1,Buku,281496,16,Bandung,4503936
226,2023-08-14,P002,Produk-17,Makanan,742148,6,Medan,4452888
227,2023-08-15,P044,Produk-11,Olahraga,1829685,8,Makassar,14637480
228,2023-08-16,P026,Produk-18,Buku,1814985,13,Makassar,23594805
229,2023-08-17,P032,Produk-17,Makanan,1947501,16,Jakarta,31160016
230,2023-08-18,P006,Produk-7,Olahraga,610315,3,Surabaya,1830945
231,2023-08-19,P032,Produk-17,Buku,929979,19,Bandung,17669601
232,2023-08-20,P004,Produk-20,Buku,223921,12,Jakarta,2687052
233,2023-08-21,P011,Produk-9,Elektronik,1985135,16,Surabaya,31762160
234,2023-08-22,P017,Produk-17,Elektronik,723218,11,Medan,7955398
235,2023-08-23,P038,Produk-20,Olahraga,1838098,10,Makassar,18380980
236,2023-08-24,P024,Produk-8,Buku,653291,4,Bandung,2613164
237,2023-08-25,P005,Produk-17,Pakaian,757755,12,Makassar,9093060
238,2023-08-26,P034,Produk-7,Elektronik,614046,2,Medan,1228092
239,2023-08-27,P006,Produk-1,Olahraga,366456,19,Surabaya,6962664
240,2023-08-28,P022,Produk-13,Buku,1429390,5,Medan,7146950
241,2023-08-29,P011,Produk-19,Buku,1084262,8,Medan,8674096
242,2023-08-30,P048,Produk-19,Pakaian,132279,7,Makassar,925953
243,2023-08-31,P016,Produk-17,Olahraga,65434,14,Bandung,916076
244,2023-09-01,P033,Produk-13,Buku,769407,3,Medan,2308221
245,2023-09-02,P009,Produk-16,Elektronik,490991,18,Makassar,8837838
246,2023-09-03,P006,Produk-8,Pakaian,387913,16,Bandung,6206608
247,2023-09-04,P016,Produk-19,Olahraga,1868618,19,Surabaya,35503742
248,2023-09-05,P029,Produk-18,Pakaian,378821,19,Surabaya,7197599
249,2023-09-06,P003,Produk-1,Elektronik,133555,18,Jakarta,2403990
250,2023-09-07,P020,Produk-14,Olahraga,1751243,16,Makassar,28019888
251,2023-09-08,P036,Produk-19,Pakaian,1839856,8,Bandung,14718848
252,2023-09-09,P019,Produk-15,Makanan,1862375,1,Medan,1862375
253,2023-09-10,P026,Produk-18,Elektronik,226806,17,Surabaya,3855702
254,2023-09-11,P003,Produk-2,Elektronik,1986673,12,Bandung,23840076
255,2023-09-12,P019,Produk-17,Elektronik,1580295,11,Makassar,17383245
256,2023-09-13,P020,Produk-18,Makanan,483819,5,Jakarta,2419095
257,2023-09-14,P032,Produk-6,Makanan,1568500,12,Surabaya,18822000
258,2023-09-15,P007,Produk-19,Buku,1049430,17,Bandung,17840310
259,2023-09-16,P041,Produk-4,Pakaian,118803,6,Bandung,712818
260,2023-09-17,P033,Produk-1,Buku,1531124,1,Bandung,1531124
261,2023-09-18,P040,Produk-8,Pakaian,1976711,5,Makassar,9883555
262,2023-09-19,P039,Produk-7,Makanan,857744,14,Makassar,12008416
263,2023-09-20,P018,Produk-3,Makanan,798736,5,Makassar,3993680
264,2023-09-21,P040,Produk-10,Buku,1576318,1,Medan,1576318
265,2023-09-22,P001,Produk-10,Olahraga,749539,18,Bandung,13491702
266,2023-09-23,P011,Produk-19,Buku,1825378,16,Surabaya,29206048
267,2023-09-24,P028,Produk-14,Pakaian,295404,9,Makassar,2658636
268,2023-09-25,P025,Produk-2,Buku,692249,19,Makassar,13152731
269,2023-09-26,P050,Produk-1,Elektronik,1401099,5,Bandung,7005495
270,2023-09-27,P023,Produk-18,Pakaian,67297,2,Makassar,134594
271,2023-09-28,P031,Produk-7,Pakaian,838443,15,Medan,12576645
272,2023-09-29,P030,Produk-8,Olahraga,1607922,7,Medan,11255454
273,2023-09-30,P042,Produk-1,Makanan,1218810,4,Makassar,4875240
274,2023-10-01,P035,Produk-3,Pakaian,618302,1,Bandung,618302
275,2023-10-02,P007,Produk-8,Makanan,1866030,13,Bandung,24258390
276,2023-10-03,P016,Produk-15,Buku,979242,7,Bandung,6854694
277,2023-10-04,P026,Produk-5,Elektronik,1979341,15,Jakarta,29690115
278,2023-10-05,P048,Produk-3,Olahraga,1277146,14,Makassar,17880044
279,2023-10-06,P049,Produk-19,Makanan,833152,19,Bandung,15829888
280,2023-10-07,P002,Produk-1,Pakaian,847552,18,Medan,15255936
281,2023-10-08,P001,Produk-15,Makanan,1608309,10,Surabaya,16083090
282,2023-10-09,P048,Produk-8,Pakaian,1383572,9,Surabaya,12452148
283,2023-10-10,P012,Produk-2,Makanan,1439959,8,Bandung,11519672
284,2023-10-11,P005,Produk-3,Pakaian,1492721,10,Surabaya,14927210
285,2023-10-12,P037,Produk-14,Buku,1831423,17,Surabaya,31134191
286,2023-10-13,P032,Produk-14,Pakaian,561603,2,Jakarta,1123206
287,2023-10-14,P009,Produk-11,Pakaian,665863,6,Medan,3995178
288,2023-10-15,P041,Produk-16,Elektronik,1093659,5,Medan,5468295
289,2023-10-16,P035,Produk-4,Pakaian,557365,9,Jakarta,5016285
290,2023-10-17,P019,Produk-20,Elektronik,1717904,5,Jakarta,8589520
291,2023-10-18,P048,Produk-5,Olahraga,1247086,18,Surabaya,22447548
292,2023-10-19,P016,Produk-14,Elektronik,1278163,9,Makassar,11503467
293,2023-10-20,P003,Produk-16,Buku,1628608,17,Surabaya,27686336
294,2023-10-21,P020,Produk-18,Elektronik,1837756,17,Jakarta,31241852
295,2023-10-22,P024,Produk-7,Olahraga,1534209,12,Medan,18410508
296,2023-10-23,P033,Produk-10,Buku,1072788,7,Surabaya,7509516
297,2023-10-24,P024,Produk-7,Makanan,878791,3,Makassar,2636373
298,2023-10-25,P011,Produk-1,Makanan,1773735,10,Surabaya,17737350
299,2023-10-26,P049,Produk-19,Elektronik,410890,2,Bandung,821780
300,2023-10-27,P008,Produk-16,Elektronik,799122,3,Surabaya,2397366
301,2023-10-28,P036,Produk-19,Olahraga,695194,16,Jakarta,11123104
302,2023-10-29,P038,Produk-4,Olahraga,251260,2,Medan,502520
303,2023-10-30,P040,Produk-18,Pakaian,1843795,10,Medan,18437950
304,2023-10-31,P020,Produk-2,Olahraga,827881,6,Jakarta,4967286
305,2023-11-01,P035,Produk-1,Pakaian,1861610,11,Bandung,20477710
306,2023-11-02,P048,Produk-15,Buku,1630461,7,Jakarta,11413227
307,2023-11-03,P025,Produk-5,Elektronik,883525,15,Surabaya,13252875
308,2023-11-04,P035,Produk-20,Buku,1529018,6,Jakarta,9174108
309,2023-11-05,P025,Produk-11,Olahraga,1301775,9,Jakarta,11715975
310,2023-11-06,P029,Produk-10,Buku,426794,12,Bandung,5121528
311,2023-11-07,P018,Produk-2,Buku,1583161,19,Surabaya,30080059
312,2023-11-08,P046,Produk-3,Buku,1831298,3,Makassar,5493894
313,2023-11-09,P018,Produk-12,Olahraga,1780353,15,Makassar,26705295
314,2023-11-10,P002,Produk-20,Buku,986197,2,Medan,1972394
315,2023-11-11,P035,Produk-5,Pakaian,1571466,2,Jakarta,3142932
316,2023-11-12,P016,Produk-5,Olahraga,433100,3,Medan,1299300
317,2023-11-13,P041,Produk-6,Buku,165598,6,Bandung,993588
318,2023-11-14,P036,Produk-9,Olahraga,300100,15,Makassar,4501500
319,2023-11-15,P033,Produk-2,Makanan,832877,10,Jakarta,8328770
320,2023-11-16,P004,Produk-12,Pakaian,758521,9,Bandung,6826689
321,2023-11-17,P033,Produk-3,Buku,826676,1,Bandung,826676
322,2023-11-18,P014,Produk-20,Makanan,183241,16,Jakarta,2931856
323,2023-11-19,P021,Produk-12,Makanan,1838028,6,Bandung,11028168
324,2023-11-20,P048,Produk-17,Olahraga,1251700,9,Jakarta,11265300
325,2023-11-21,P020,Produk-10,Makanan,1563641,4,Jakarta,6254564
326,2023-11-22,P008,Produk-14,Pakaian,1303499,2,Surabaya,2606998
327,2023-11-23,P007,Produk-17,Pakaian,58036,4,Medan,232144
328,2023-11-24,P003,Produk-18,Elektronik,1654642,1,Bandung,1654642
329,2023-11-25,P017,Produk-19,Pakaian,995238,19,Bandung,18909522
330,2023-11-26,P033,Produk-17,Makanan,1252821,10,Surabaya,12528210
331,2023-11-27,P048,Produk-14,Pakaian,1784339,15,Surabaya,26765085
332,2023-11-28,P012,Produk-9,Olahraga,1033825,19,Surabaya,19642675
333,2023-11-29,P022,Produk-8,Elektronik,252747,16,Makassar,4043952
334,2023-11-30,P022,Produk-2,Makanan,593088,4,Makassar,2372352
335,2023-12-01,P046,Produk-13,Elektronik,1386092,2,Makassar,2772184
336,2023-12-02,P030,Produk-7,Makanan,1422236,13,Jakarta,18489068
337,2023-12-03,P038,Produk-9,Olahraga,1905546,1,Bandung,1905546
338,2023-12-04,P038,Produk-11,Elektronik,900350,17,Medan,15305950
339,2023-12-05,P045,Produk-14,Buku,982477,13,Jakarta,12772201
340,2023-12-06,P008,Produk-4,Makanan,1431875,4,Bandung,5727500
341,2023-12-07,P027,Produk-13,Buku,805600,7,Bandung,5639200
342,2023-12-08,P027,Produk-2,Elektronik,1158076,17,Surabaya,19687292
343,2023-12-09,P034,Produk-5,Buku,217647,9,Surabaya,1958823
344,2023-12-10,P021,Produk-11,Buku,286527,4,Jakarta,1146108
345,2023-12-11,P030,Produk-6,Elektronik,485477,19,Surabaya,9224063
346,2023-12-12,P033,Produk-18,Olahraga,1733523,1,Bandung,1733523
347,2023-12-13,P028,Produk-10,Buku,602004,10,Surabaya,6020040
348,2023-12-14,P047,Produk-4,Buku,1495028,4,Makassar,5980112
349,2023-12-15,P033,Produk-9,Olahraga,1507640,9,Surabaya,13568760
350,2023-12-16,P005,Produk-6,Buku,52352,13,Bandung,680576
351,2023-12-17,P048,Produk-2,Buku,183004,14,Jakarta,2562056
352,2023-12-18,P019,Produk-17,Buku,912881,10,Medan,9128810
353,2023-12-19,P004,Produk-5,Pakaian,1631420,6,Surabaya,9788520
354,2023-12-20,P035,Produk-6,Olahraga,836261,16,Bandung,13380176
355,2023-12-21,P049,Produk-12,Buku,1447556,6,Medan,8685336
356,2023-12-22,P017,Produk-10,Olahraga,710858,17,Medan,12084586
357,2023-12-23,P044,Produk-6,Makanan,781478,10,Makassar,7814780
358,2023-12-24,P028,Produk-8,Makanan,100098,18,Medan,1801764
359,2023-12-25,P030,Produk-2,Buku,1031890,18,Bandung,18574020
360,2023-12-26,P029,Produk-12,Olahraga,424313,3,Bandung,1272939
361,2023-12-27,P046,Produk-13,Olahraga,714929,15,Surabaya,10723935
362,2023-12-28,P006,Produk-7,Olahraga,297199,15,Surabaya,4457985
363,2023-12-29,P035,Produk-10,Pakaian,176060,4,Surabaya,704240
364,2023-12-30,P041,Produk-13,Makanan,1286530,9,Medan,11578770
365,2023-12-31,P037,Produk-17,Olahraga,1824329,19,Medan,34662251
